element,Number,Period,group,families,Metal
H,1,1,1,7,0
He,2,1,18,9,0
Li,3,2,1,1,1
Be,4,2,2,2,1
B,5,2,13,6,0
C,6,2,14,7,0
N,7,2,15,7,0
O,8,2,16,7,0
F,9,2,17,8,0
Ne,10,2,18,9,0
Na,11,3,1,1,1
Mg,12,3,2,2,1
Al,13,3,13,5,1
Si,14,3,14,6,0
P,15,3,15,7,0
S,16,3,16,7,0
Cl,17,3,17,8,0
Ar,18,3,18,9,0
K,19,4,1,1,1
Ca,20,4,2,2,1
Sc,21,4,3,3,1
Ti,22,4,4,4,1
V,23,4,5,4,1
Cr,24,4,6,4,1
Mn,25,4,7,4,1
Fe,26,4,8,4,1
Co,27,4,9,4,1
Ni,28,4,10,4,1
Cu,29,4,11,4,1
Zn,30,4,12,4,1
Ga,31,4,13,5,1
Ge,32,4,14,6,0
As,33,4,15,6,0
Se,34,4,16,7,0
Br,35,4,17,8,0
Kr,36,4,18,9,0
Rb,37,5,1,1,1
Sr,38,5,2,2,1
Y,39,5,3,3,1
Zr,40,5,4,4,1
Nb,41,5,5,4,1
Mo,42,5,6,4,1
Tc,43,5,7,4,1
Ru,44,5,8,4,1
Rh,45,5,9,4,1
Pd,46,5,10,4,1
Ag,47,5,11,4,1
Cd,48,5,12,4,1
In,49,5,13,5,1
Sn,50,5,14,5,1
Sb,51,5,15,6,0
Te,52,5,16,6,0
I,53,5,17,8,0
Xe,54,5,18,9,0
Cs,55,6,1,1,1
Ba,56,6,2,2,1
La,57,6,3,3,1
Ce,58,6,3,3,1
Pr,59,6,3,3,1
Nd,60,6,3,3,1
Pm,61,6,3,3,1
Sm,62,6,3,3,1
Eu,63,6,3,3,1
Gd,64,6,3,3,1
Tb,65,6,3,3,1
Dy,66,6,3,3,1
Ho,67,6,3,3,1
Er,68,6,3,3,1
Tm,69,6,3,3,1
Yb,70,6,3,3,1
Lu,71,6,3,3,1
Hf,72,6,4,4,1
Ta,73,6,5,4,1
W,74,6,6,4,1
Re,75,6,7,4,1
Os,76,6,8,4,1
Ir,77,6,9,4,1
Pt,78,6,10,4,1
Au,79,6,11,4,1
Hg,80,6,12,4,1
Tl,81,6,13,5,1
Pb,82,6,14,5,1
Bi,83,6,15,5,1
Th,90,7,3,3,1
U,92,7,3,3,1
